Seed,Algorithm,dataset,time,train_f1,val_f1,acc,val_acc,bin_acc,val_bin_acc,train_loss,val_loss
1,RNN,Text,0:00:17.743636,0.9966045735605532,0.6176812410354614,0.9966505889851692,0.614375,0.9966505889851692,0.9966505889851692,0.02532733047315162,0.8964176034927368
1,CNN,Text,0:00:18.448537,0.44736751981103534,0.410801944732666,0.5171489815875521,0.496875,0.5171489815875521,0.5171489815875521,7.73485494758794,8.059665069580078
1,Shallow,Image,0:00:56.030051,0.0,0.0,0.7783333381017049,0.7349999976158142,0.7783333381017049,0.7783333381017049,0.563577976822853,0.5753954350948334
1,Deep,Image,0:00:53.380234,0.0,0.0,0.7783333381017049,0.7349999976158142,0.7783333381017049,0.7783333381017049,0.5692523866891861,0.620673953294754
1,CNN,Image,0:01:01.915887,0.8607437163591385,0.8902250409126282,0.9466666599114736,0.9499999916553498,0.9466666599114736,0.9466666599114736,0.14202791781475146,0.13119141668081283
1,LSTM,Image,0:00:57.934930,0.0,0.0,0.0,0.0,0.0,0.0,3.5728444894154867,4.271295323371887
1,RNN,Image,0:00:56.024271,0.0,0.0,0.7783333381017049,0.7349999976158142,0.7783333381017049,0.7783333381017049,0.6879408677419027,0.6898748737573623
1,Shallow,TimeSeries,0:00:05.450732,0.0,0.0,0.7955257252825453,0.8037578249525178,0.7955257252825453,0.7955257252825453,0.5296342948405801,0.5125187089149539
1,Deep,TimeSeries,0:00:06.351668,0.0,0.0,0.7955257252825453,0.8037578249525178,0.7955257252825453,0.7955257252825453,0.4407579726420793,0.3871977902902193
1,CNN,TimeSeries,0:00:05.803371,0.5746594732831638,0.5998481856230412,0.8652037593264564,0.8012552351133594,0.8652037593264564,0.8652037593264564,0.3417433664316134,0.5464781989113556
1,LSTM,TimeSeries,0:00:07.451400,0.47401246144213166,0.5272789906757147,0.8423645343419633,0.8410041968194012,0.8423645343419633,0.8423645343419633,0.35657656352935324,0.4314427690027149
1,RNN,TimeSeries,0:00:06.006941,0.5234932578095822,0.5024976291417078,0.8513210938748788,0.8389121333924298,0.8513210938748788,0.8513210938748788,0.3540421178989009,0.3957581440275184
2,Shallow,Easy,0:00:08.626575,0.6377182505533825,0.6942710369142867,0.7440305633440173,0.7786259541984732,0.7440305633440173,0.7440305633440173,0.5354800098206502,0.5042398899566126
2,Deep,Easy,0:00:10.742514,0.714611396463917,0.6693928405528761,0.7994269345528531,0.7824427483191017,0.7994269345528531,0.7994269345528531,0.48820228383670905,0.4741234547309293
2,LSTM,Easy,0:00:13.814982,0.7633562452358184,0.7151061417037294,0.8271251196164456,0.7748091603053435,0.8271251196164456,0.8271251196164456,0.37707791580625566,0.7707461491795896
2,RNN,Easy,0:00:09.640598,0.7560650632283521,0.7169907477520804,0.8223495698020702,0.7938931297709924,0.8223495698020702,0.8223495698020702,0.40300388325365133,0.46260256394175175
2,CNN,Easy,0:00:16.973165,0.7646251466007834,0.7087425494012032,0.8309455583407521,0.8015267175572519,0.8309455583407521,0.8309455583407521,0.3852384236731069,0.4586845650017716
2,Shallow,Big,0:01:32.770430,0.3273637697020813,0.3738528206187051,0.9988914748901507,0.9991924440855307,0.9988914748901507,0.9988914748901507,0.009675195106940667,0.007826041970473189
2,Deep,Big,0:02:22.700925,0.2236818603215905,0.24518486438961637,0.9972863706610864,0.9989700736163291,0.9972863706610864,0.9972863706610864,0.04264036022023035,0.015421128012294531
2,CNN,Big,0:12:06.308516,0.5285771694969006,0.4782614843615133,0.9997542184145582,0.9995318516437859,0.9997542184145582,0.9997542184145582,0.0007973099833867021,0.0040457340543624465
2,LSTM,Big,0:02:58.080060,0.5092355015548565,0.46020849658807167,0.0016101201821793303,0.001217185726156619,0.0016101201821793303,0.0016101201821793303,0.005470287936933536,0.00618004100856049
2,RNN,Big,0:01:32.682150,0.4741616842535826,0.4437296773066867,0.999448245420437,0.9994733330992591,0.999448245420437,0.999448245420437,0.0028349284960873136,0.002821270584672006
2,Shallow,Text,0:00:07.343608,0.5715079319694291,0.3866307294368744,0.5066988208158478,0.4903125,0.5066988208158478,0.5066988208158478,0.7027071765509193,0.7087703967094421
2,Deep,Text,0:00:08.713311,0.3921095353869635,0.6700286626815796,0.5008038586806126,0.5040625,0.5008038586806126,0.5008038586806126,6.192000482626667,7.417872619628906
2,LSTM,Text,0:00:52.774285,0.9182718696446025,0.7058050155639648,0.7288317267023354,0.6315625,0.7288317267023354,0.7288317267023354,0.21940406019792424,1.328984308242798
2,RNN,Text,0:00:19.728617,0.9891901953427354,0.6295414566993713,0.9891479089456867,0.65,0.9891479089456867,0.9891479089456867,0.04498803424314543,0.7664464616775513
2,CNN,Text,0:00:20.391306,0.4669859552434531,0.5235567307472229,0.5103161846070938,0.5153125,0.5103161846070938,0.5103161846070938,7.82416688003213,7.735038452148437
2,Shallow,Image,0:00:59.891589,0.0,0.0,0.7783333381017049,0.7349999976158142,0.7783333381017049,0.7783333381017049,0.5600937197605769,0.5804406696557999
2,Deep,Image,0:00:56.736149,0.0,0.0,0.7783333381017049,0.7349999976158142,0.7783333381017049,0.7783333381017049,0.5836444179217021,0.6143557810783387
2,CNN,Image,0:01:05.336673,0.8494519213835399,0.8787119650840759,0.9416666607062022,0.9429999923706055,0.9416666607062022,0.9416666607062022,0.22581805338462194,0.24723005637526513
2,LSTM,Image,0:01:04.060578,0.0,0.0,0.0,0.0,0.0,0.0,3.5728444894154867,4.271295323371887
2,RNN,Image,0:01:00.525079,0.0,0.0,0.7783333381017049,0.7349999976158142,0.7783333381017049,0.7783333381017049,0.556148475408554,0.5928495466709137
2,Shallow,TimeSeries,0:00:08.249568,0.0,0.0,0.7964205835222932,0.8016701486264988,0.7964205835222932,0.7964205835222932,0.5012422577646755,0.48305640159668656
2,Deep,TimeSeries,0:00:09.019654,0.0,0.0,0.7964205835222932,0.8016701486264988,0.7964205835222932,0.7964205835222932,0.38424284528832575,0.3428397604841778
2,CNN,TimeSeries,0:00:08.368581,0.0,0.0,0.3824451411258891,0.11087866100993117,0.3824451411258891,0.3824451411258891,3.32034265968333,3.1190877998224362
2,LSTM,TimeSeries,0:00:10.036106,0.4331255999318271,0.47367247951579394,0.835647113644591,0.8368200712124174,0.835647113644591,0.835647113644591,0.35831402010625113,0.40914502665088764
2,RNN,TimeSeries,0:00:08.549802,0.4629545516621837,0.4466691762832418,0.8374384244460992,0.8284518741164746,0.8374384244460992,0.8374384244460992,0.3736789752109885,0.3980634651423498
3,Shallow,Easy,0:00:13.194447,0.6340051192608809,0.76850579394639,0.763132759641212,0.8282442752641576,0.763132759641212,0.763132759641212,0.5308496246137501,0.45215474148743023
3,Deep,Easy,0:00:14.922386,0.6578122401875093,0.6263316055290572,0.7488061132153216,0.5610687018350791,0.7488061132153216,0.7488061132153216,0.5788040351275614,0.6655178807163966
3,LSTM,Easy,0:00:17.981796,0.7566565922474793,0.7314567333869352,0.8357211083828435,0.7977099241191195,0.8357211083828435,0.8357211083828435,0.3788409280628962,0.5912266105185938
3,RNN,Easy,0:00:13.631688,0.7399886713897829,0.7284226945338358,0.8261700098357433,0.7977099236641222,0.8261700098357433,0.8261700098357433,0.41356346190488097,0.4073054103450921
3,CNN,Easy,0:00:21.563656,0.7312575034448502,0.6827319469160706,0.8261700093803114,0.7748091603053435,0.8261700093803114,0.8261700093803114,0.40032399278543285,0.4176601221543232
3,Shallow,Big,0:01:44.537912,0.2699020624385595,0.34749622371088673,0.9987811239742381,0.9989934810453013,0.9987811239742381,0.9987811239742381,0.01546617535066672,0.013097119328105452
3,Deep,Big,0:02:41.468996,0.1738570353419461,0.2838351890355289,0.9956160590702275,0.9988764439562478,0.9956160590702275,0.9956160590702275,0.06906431198368594,0.016608687861099616
3,CNN,Big,0:12:31.570177,0.5265923459477114,0.49196769043145905,0.9997391705623884,0.9995084442371367,0.9997391705623884,0.9997391705623884,0.0011309196707796282,0.003896030678778509
3,LSTM,Big,0:03:24.302280,0.4619162396044666,0.49795998385488216,0.0026233422280804047,0.032009643865686346,0.0026233422280804047,0.0026233422280804047,0.007338039370500757,0.008437743795124911
3,RNN,Big,0:01:48.839984,0.4366870600076848,0.477329360095601,0.9994131337653739,0.9993914071480832,0.9994131337653739,0.9994131337653739,0.0028125108696920357,0.002799374444388994
3,Shallow,Text,0:00:10.509316,0.5945508081430024,0.6541489911079407,0.5010718105306963,0.50125,0.5010718105306963,0.5010718105306963,0.7013261449809755,0.695097246170044
3,Deep,Text,0:00:23.145903,0.6074797749391578,0.6679184699058532,0.4961146834642813,0.5015625,0.4961146834642813,0.4961146834642813,6.666283069316214,7.663014869689942
3,LSTM,Text,0:00:56.013435,0.9416407418276591,0.740593204498291,0.6795284035760363,0.5603125,0.6795284035760363,0.6795284035760363,0.2886593607109587,1.7023002910614013
3,RNN,Text,0:00:22.900294,0.9772678020171669,0.642553551197052,0.9777599142550911,0.5525,0.9777599142550911,0.9777599142550911,0.09082961724502098,0.8979104375839233
3,CNN,Text,0:00:23.656611,0.6614233034344476,0.6626940083503723,0.5018756695307336,0.50125,0.5018756695307336,0.5018756695307336,7.927929895611566,7.930399627685547
3,Shallow,Image,0:01:05.263013,0.0,0.0,0.7783333381017049,0.7349999976158142,0.7783333381017049,0.7783333381017049,0.5671481092770895,0.5804716551303863
3,Deep,Image,0:01:01.944233,0.0,0.0,0.7783333381017049,0.7349999976158142,0.7783333381017049,0.7783333381017049,0.5643939554691315,0.6099484848976136
3,CNN,Image,0:01:10.100527,0.8651418705781301,0.8059001117944717,0.9416666607062022,0.9239999949932098,0.9416666607062022,0.9416666607062022,0.1562485517313083,0.20480480797588826
3,LSTM,Image,0:01:07.603033,0.3560236612955729,0.4096690231561661,0.0,0.0,0.0,0.0,12.408489863077799,11.717653274536133
3,RNN,Image,0:01:00.795729,0.0,0.0,0.7783333381017049,0.7349999976158142,0.7783333381017049,0.7783333381017049,0.6285670469204585,0.6398791402578354
3,Shallow,TimeSeries,0:00:10.781711,0.0,0.0,0.8013422810791323,0.790187883352188,0.8013422810791323,0.8013422810791323,0.5818387829484022,0.5791182669816783
3,Deep,TimeSeries,0:00:11.271386,0.0,0.0,0.8013422810791323,0.790187883352188,0.8013422810791323,0.8013422810791323,0.42700171862672637,0.3898783425075276
3,CNN,TimeSeries,0:00:10.743886,0.5174463433745299,0.4740409649066845,0.85400806189224,0.8462343210954546,0.85400806189224,0.85400806189224,0.32489284704845156,0.41014777392024276
3,LSTM,TimeSeries,0:00:12.621040,0.4646895496876209,0.48446375081728693,0.8423645341551149,0.8347280222501715,0.8423645341551149,0.8423645341551149,0.35710544333669353,0.4370768484211367
3,RNN,TimeSeries,0:00:11.023526,0.5327893977895533,0.5000409860491254,0.8562472005409346,0.8389121466101962,0.8562472005409346,0.8562472005409346,0.3496121073244294,0.39147094727560067
4,Shallow,Easy,0:00:16.398233,0.6093362593719133,0.6827505977099179,0.7507163322074365,0.7900763354228653,0.7507163322074365,0.7507163322074365,0.5407097024528208,0.47936150317883675
4,Deep,Easy,0:02:16.009925,0.6126044220660227,0.7408565523970219,0.749761223052953,0.8015267171022546,0.749761223052953,0.749761223052953,0.5527509249953168,0.5157567990645198
8,Shallow,Easy,0:00:04.773942,0.6430788484776487,0.6735215837718876,0.7468958930846271,0.7328244270259188,0.7468958930846271,0.7468958930846271,0.5266930260255207,0.5225860114770992
